Year,Region,MRIP Trips In Mode Area,Trips PSE
2018,Gulf of Mexico,104464012,3.5
2017,Gulf of Mexico,110370514,3.6
2016,Gulf of Mexico,101947882,3
2015,Gulf of Mexico,94306590,2.7
2014,Gulf of Mexico,98837164,2.5
2013,Gulf of Mexico,136347922,1.9
2012,Gulf of Mexico,133060990,1.9
2011,Gulf of Mexico,123516250,2
2010,Gulf of Mexico,121015062,2
2009,Gulf of Mexico,113475924,1.9
2008,Gulf of Mexico,120062758,1.9
2007,Gulf of Mexico,116681728,2.1
2006,Gulf of Mexico,109051080,2.1
2005,Gulf of Mexico,116130986,2.2
2004,Gulf of Mexico,131263480,2.2
2003,Gulf of Mexico,116043570,1.7
2002,Gulf of Mexico,108233132,1.7
2001,Gulf of Mexico,116653456,1.7
2000,Gulf of Mexico,111367424,1.8
1999,Gulf of Mexico,106055892,1.7
1998,Gulf of Mexico,94587006,1.8
1997,Gulf of Mexico,89419544,1.8
1996,Gulf of Mexico,87494066,1.8
1995,Gulf of Mexico,88352886,1.7
1994,Gulf of Mexico,92584846,1.8
1993,Gulf of Mexico,93402890,2
1992,Gulf of Mexico,83574670,1.9
1991,Gulf of Mexico,96160650,2.7
1990,Gulf of Mexico,80681940,2.4
